Utah, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
197810,37.4,1.8
197811,25.5,1.0
197812,11.2,-5.7
197901,8.8,-6.2
197902,15.2,-4.3
197903,26.2,0.3
197904,32.4,-0.3
197905,41.5,0.4
197906,48.4,-0.9
197907,56.0,-0.8
197908,54.1,-0.9
197909,48.2,2.1
197910,37.7,2.1
197911,19.8,-4.7
197912,17.3,0.4
198001,21.5,6.5
198002,23.0,3.5
198003,24.9,-1.0
198004,32.7,0.0
198005,40.4,-0.7
198006,48.1,-1.2
198007,57.4,0.6
198008,53.6,-1.4
198009,46.6,0.5
198010,34.6,-1.0
198011,25.4,0.9
198012,23.0,6.1
198101,21.4,6.4
198102,20.8,1.3
198103,27.9,2.0
198104,36.3,3.6
198105,41.4,0.3
198106,52.3,3.0
198107,58.1,1.3
198108,56.0,1.0
198109,49.6,3.5
198110,36.0,0.4
198111,28.4,3.9
198112,21.8,4.9
198201,14.7,-0.3
198202,17.6,-1.9
198203,27.6,1.7
198204,29.7,-3.0
198205,40.4,-0.7
198206,47.8,-1.5
198207,56.0,-0.8
198208,57.6,2.6
198209,48.5,2.4
198210,33.0,-2.6
198211,23.9,-0.6
198212,18.4,1.5
198301,20.2,5.2
198302,23.7,4.2
198303,29.8,3.9
198304,29.6,-3.1
198305,38.5,-2.6
198306,48.7,-0.6
198307,56.1,-0.7
198308,57.8,2.8
198309,49.0,2.9
198310,37.7,2.1
198311,26.9,2.4
198312,19.4,2.5
198401,10.4,-4.6
198402,13.1,-6.4
198403,24.3,-1.6
198404,30.1,-2.6
198405,43.4,2.3
198406,48.2,-1.1
198407,57.7,0.9
198408,56.9,1.9
198409,47.1,1.0
198410,32.9,-2.7
198411,25.1,0.6
198412,16.6,-0.3
198501,13.5,-1.5
198502,13.3,-6.2
198503,24.8,-1.1
198504,35.6,2.9
198505,43.4,2.3
198506,51.3,2.0
198507,58.7,1.9
198508,54.1,-0.9
198509,43.5,-2.6
198510,36.0,0.4
198511,24.4,-0.1
198512,16.6,-0.3
198601,20.1,5.1
198602,26.1,6.6
198603,32.1,6.2
198604,34.1,1.4
198605,40.9,-0.2
198606,52.9,3.6
198607,55.7,-1.1
198608,57.5,2.5
198609,44.1,-2.0
198610,35.1,-0.5
198611,26.6,2.1
198612,18.2,1.3
198701,14.0,-1.0
198702,22.7,3.2
198703,25.3,-0.6
198704,35.5,2.8
198705,43.6,2.5
198706,51.9,2.6
198707,55.2,-1.6
198708,54.1,-0.9
198709,46.1,0.0
198710,39.1,3.5
198711,26.6,2.1
198712,16.6,-0.3
198801,11.5,-3.5
198802,19.1,-0.4
198803,24.4,-1.5
198804,34.2,1.5
198805,40.6,-0.5
198806,53.8,4.5
198807,58.9,2.1
198808,55.3,0.3
198809,45.1,-1.0
198810,40.8,5.2
198811,26.3,1.8
198812,14.9,-2.0
198901,9.0,-6.0
198902,14.8,-4.7
198903,30.6,4.7
198904,37.7,5.0
198905,42.2,1.1
198906,49.3,0.0
198907,59.0,2.2
198908,54.4,-0.6
198909,46.7,0.6
198910,35.6,0.0
198911,25.6,1.1
198912,17.2,0.3
199001,17.5,2.5
199002,18.4,-1.1
199003,30.1,4.2
199004,37.3,4.6
199005,40.6,-0.5
199006,51.7,2.4
199007,58.3,1.5
199008,55.2,0.2
199009,51.6,5.5
199010,35.8,0.2
199011,25.4,0.9
199012,8.4,-8.5
199101,12.2,-2.8
199102,22.4,2.9
199103,25.5,-0.4
199104,30.7,-2.0
199105,39.4,-1.7
199106,49.4,0.1
199107,57.6,0.8
199108,56.8,1.8
199109,47.5,1.4
199110,37.0,1.4
199111,25.4,0.9
199112,17.0,0.1
199201,14.1,-0.9
199202,25.0,5.5
199203,31.1,5.2
199204,38.9,6.2
199205,45.3,4.2
199206,49.8,0.5
199207,55.2,-1.6
199208,56.0,1.0
199209,47.5,1.4
199210,39.4,3.8
199211,21.4,-3.1
199212,13.5,-3.4
199301,16.7,1.7
199302,19.0,-0.5
199303,29.3,3.4
199304,32.7,0.0
199305,43.6,2.5
199306,47.2,-2.1
199307,52.9,-3.9
199308,53.5,-1.5
199309,44.9,-1.2
199310,35.9,0.3
199311,20.6,-3.9
199312,17.0,0.1
199401,19.8,4.8
